role_title,canonical_title,seniority,domain,aliases
Architect Go Developer,Architect Go Developer,Architect,Backend,Go Developer|A. Go Developer
Director Go Developer,Director Go Developer,Director,Backend,Go Developer|D. Go Developer
VP Go Developer,VP Go Developer,VP,Backend,Go Developer|V. Go Developer
CTO Go Developer,CTO Go Developer,CTO,Backend,Go Developer|C. Go Developer
Intern Rust Developer,Intern Rust Developer,Intern,Backend,Rust Developer
Junior Rust Developer,Junior Rust Developer,Junior,Backend,Rust Developer
Associate Rust Developer,Associate Rust Developer,Associate,Backend,Rust Developer|A. Rust Developer
Mid-level Rust Developer,Mid-level Rust Developer,Mid-level,Backend,Rust Developer|M. Rust Developer
Senior Rust Developer,Senior Rust Developer,Senior,Backend,Rust Developer|S. Rust Developer
Lead Rust Developer,Lead Rust Developer,Lead,Backend,Rust Developer|L. Rust Developer
Principal Rust Developer,Principal Rust Developer,Principal,Backend,Rust Developer|P. Rust Developer
Staff Rust Developer,Staff Rust Developer,Staff,Backend,Rust Developer|S. Rust Developer
Senior Staff Rust Developer,Senior Staff Rust Developer,Senior Staff,Backend,Rust Developer|S. Rust Developer
Architect Rust Developer,Architect Rust Developer,Architect,Backend,Rust Developer|A. Rust Developer
Director Rust Developer,Director Rust Developer,Director,Backend,Rust Developer|D. Rust Developer
VP Rust Developer,VP Rust Developer,VP,Backend,Rust Developer|V. Rust Developer
CTO Rust Developer,CTO Rust Developer,CTO,Backend,Rust Developer|C. Rust Developer
Intern Scala Developer,Intern Scala Developer,Intern,Backend,Scala Developer
Junior Scala Developer,Junior Scala Developer,Junior,Backend,Scala Developer
Associate Scala Developer,Associate Scala Developer,Associate,Backend,Scala Developer|A. Scala Developer
Mid-level Scala Developer,Mid-level Scala Developer,Mid-level,Backend,Scala Developer|M. Scala Developer
Senior Scala Developer,Senior Scala Developer,Senior,Backend,Scala Developer|S. Scala Developer
Lead Scala Developer,Lead Scala Developer,Lead,Backend,Scala Developer|L. Scala Developer
Principal Scala Developer,Principal Scala Developer,Principal,Backend,Scala Developer|P. Scala Developer
Staff Scala Developer,Staff Scala Developer,Staff,Backend,Scala Developer|S. Scala Developer
Senior Staff Scala Developer,Senior Staff Scala Developer,Senior Staff,Backend,Scala Developer|S. Scala Developer
Architect Scala Developer,Architect Scala Developer,Architect,Backend,Scala Developer|A. Scala Developer
Director Scala Developer,Director Scala Developer,Director,Backend,Scala Developer|D. Scala Developer
VP Scala Developer,VP Scala Developer,VP,Backend,Scala Developer|V. Scala Developer
CTO Scala Developer,CTO Scala Developer,CTO,Backend,Scala Developer|C. Scala Developer
Intern Data Engineer,Intern Data Engineer,Intern,Data Engineering,Data Engineer
Junior Data Engineer,Junior Data Engineer,Junior,Data Engineering,Data Engineer
Associate Data Engineer,Associate Data Engineer,Associate,Data Engineering,Data Engineer|A. Data Engineer
Mid-level Data Engineer,Mid-level Data Engineer,Mid-level,Data Engineering,Data Engineer|M. Data Engineer
Senior Data Engineer,Senior Data Engineer,Senior,Data Engineering,Data Engineer|S. Data Engineer
Lead Data Engineer,Lead Data Engineer,Lead,Data Engineering,Data Engineer|L. Data Engineer
Principal Data Engineer,Principal Data Engineer,Principal,Data Engineering,Data Engineer|P. Data Engineer
Staff Data Engineer,Staff Data Engineer,Staff,Data Engineering,Data Engineer|S. Data Engineer
Senior Staff Data Engineer,Senior Staff Data Engineer,Senior Staff,Data Engineering,Data Engineer|S. Data Engineer
Architect Data Engineer,Architect Data Engineer,Architect,Data Engineering,Data Engineer|A. Data Engineer
Director Data Engineer,Director Data Engineer,Director,Data Engineering,Data Engineer|D. Data Engineer
VP Data Engineer,VP Data Engineer,VP,Data Engineering,Data Engineer|V. Data Engineer
CTO Data Engineer,CTO Data Engineer,CTO,Data Engineering,Data Engineer|C. Data Engineer
Intern Big Data Engineer,Intern Data Engineer,Intern,Data Engineering,Big Data Engineer
Junior Big Data Engineer,Junior Data Engineer,Junior,Data Engineering,Big Data Engineer
Associate Big Data Engineer,Associate Data Engineer,Associate,Data Engineering,Big Data Engineer|A. Big Data Engineer
Mid-level Big Data Engineer,Mid-level Data Engineer,Mid-level,Data Engineering,Big Data Engineer|M. Big Data Engineer
Senior Big Data Engineer,Senior Data Engineer,Senior,Data Engineering,Big Data Engineer|S. Big Data Engineer
Lead Big Data Engineer,Lead Data Engineer,Lead,Data Engineering,Big Data Engineer|L. Big Data Engineer
Principal Big Data Engineer,Principal Data Engineer,Principal,Data Engineering,Big Data Engineer|P. Big Data Engineer
Staff Big Data Engineer,Staff Data Engineer,Staff,Data Engineering,Big Data Engineer|S. Big Data Engineer
Senior Staff Big Data Engineer,Senior Staff Data Engineer,Senior Staff,Data Engineering,Big Data Engineer|S. Big Data Engineer
Architect Big Data Engineer,Architect Data Engineer,Architect,Data Engineering,Big Data Engineer|A. Big Data Engineer
Director Big Data Engineer,Director Data Engineer,Director,Data Engineering,Big Data Engineer|D. Big Data Engineer
VP Big Data Engineer,VP Data Engineer,VP,Data Engineering,Big Data Engineer|V. Big Data Engineer
CTO Big Data Engineer,CTO Data Engineer,CTO,Data Engineering,Big Data Engineer|C. Big Data Engineer
Intern ETL Developer,Intern ETL Developer,Intern,Data Engineering,ETL Developer
Junior ETL Developer,Junior ETL Developer,Junior,Data Engineering,ETL Developer
Associate ETL Developer,Associate ETL Developer,Associate,Data Engineering,ETL Developer|A. ETL Developer
Mid-level ETL Developer,Mid-level ETL Developer,Mid-level,Data Engineering,ETL Developer|M. ETL Developer
Senior ETL Developer,Senior ETL Developer,Senior,Data Engineering,ETL Developer|S. ETL Developer
Lead ETL Developer,Lead ETL Developer,Lead,Data Engineering,ETL Developer|L. ETL Developer
Principal ETL Developer,Principal ETL Developer,Principal,Data Engineering,ETL Developer|P. ETL Developer
Staff ETL Developer,Staff ETL Developer,Staff,Data Engineering,ETL Developer|S. ETL Developer
Senior Staff ETL Developer,Senior Staff ETL Developer,Senior Staff,Data Engineering,ETL Developer|S. ETL Developer
Architect ETL Developer,Architect ETL Developer,Architect,Data Engineering,ETL Developer|A. ETL Developer
Director ETL Developer,Director ETL Developer,Director,Data Engineering,ETL Developer|D. ETL Developer
VP ETL Developer,VP ETL Developer,VP,Data Engineering,ETL Developer|V. ETL Developer
CTO ETL Developer,CTO ETL Developer,CTO,Data Engineering,ETL Developer|C. ETL Developer
Intern Data Architect,Intern Data Architect,Intern,Data Engineering,Data Architect
Junior Data Architect,Junior Data Architect,Junior,Data Engineering,Data Architect
Associate Data Architect,Associate Data Architect,Associate,Data Engineering,Data Architect|A. Data Architect
Mid-level Data Architect,Mid-level Data Architect,Mid-level,Data Engineering,Data Architect|M. Data Architect
Senior Data Architect,Senior Data Architect,Senior,Data Engineering,Data Architect|S. Data Architect
Lead Data Architect,Lead Data Architect,Lead,Data Engineering,Data Architect|L. Data Architect
Principal Data Architect,Principal Data Architect,Principal,Data Engineering,Data Architect|P. Data Architect
Staff Data Architect,Staff Data Architect,Staff,Data Engineering,Data Architect|S. Data Architect
Senior Staff Data Architect,Senior Staff Data Architect,Senior Staff,Data Engineering,Data Architect|S. Data Architect
Architect Data Architect,Architect Data Architect,Architect,Data Engineering,Data Architect|A. Data Architect
Director Data Architect,Director Data Architect,Director,Data Engineering,Data Architect|D. Data Architect
VP Data Architect,VP Data Architect,VP,Data Engineering,Data Architect|V. Data Architect
CTO Data Architect,CTO Data Architect,CTO,Data Engineering,Data Architect|C. Data Architect
Intern Data Scientist,Intern Data Scientist,Intern,Data Science,Data Scientist
Junior Data Scientist,Junior Data Scientist,Junior,Data Science,Data Scientist
Associate Data Scientist,Associate Data Scientist,Associate,Data Science,Data Scientist|A. Data Scientist
Mid-level Data Scientist,Mid-level Data Scientist,Mid-level,Data Science,Data Scientist|M. Data Scientist
Senior Data Scientist,Senior Data Scientist,Senior,Data Science,Data Scientist|S. Data Scientist
Lead Data Scientist,Lead Data Scientist,Lead,Data Science,Data Scientist|L. Data Scientist
Principal Data Scientist,Principal Data Scientist,Principal,Data Science,Data Scientist|P. Data Scientist
Staff Data Scientist,Staff Data Scientist,Staff,Data Science,Data Scientist|S. Data Scientist
Senior Staff Data Scientist,Senior Staff Data Scientist,Senior Staff,Data Science,Data Scientist|S. Data Scientist
Architect Data Scientist,Architect Data Scientist,Architect,Data Science,Data Scientist|A. Data Scientist
Director Data Scientist,Director Data Scientist,Director,Data Science,Data Scientist|D. Data Scientist
VP Data Scientist,VP Data Scientist,VP,Data Science,Data Scientist|V. Data Scientist
CTO Data Scientist,CTO Data Scientist,CTO,Data Science,Data Scientist|C. Data Scientist
Intern ML Engineer,Intern Machine Learning Engineer,Intern,Machine Learning,ML Engineer
Junior ML Engineer,Junior Machine Learning Engineer,Junior,Machine Learning,ML Engineer
Associate ML Engineer,Associate Machine Learning Engineer,Associate,Machine Learning,ML Engineer|A. ML Engineer
Mid-level ML Engineer,Mid-level Machine Learning Engineer,Mid-level,Machine Learning,ML Engineer|M. ML Engineer
Senior ML Engineer,Senior Machine Learning Engineer,Senior,Machine Learning,ML Engineer|S. ML Engineer
Lead ML Engineer,Lead Machine Learning Engineer,Lead,Machine Learning,ML Engineer|L. ML Engineer
Principal ML Engineer,Principal Machine Learning Engineer,Principal,Machine Learning,ML Engineer|P. ML Engineer
Staff ML Engineer,Staff Machine Learning Engineer,Staff,Machine Learning,ML Engineer|S. ML Engineer
Senior Staff ML Engineer,Senior Staff Machine Learning Engineer,Senior Staff,Machine Learning,ML Engineer|S. ML Engineer
Architect ML Engineer,Architect Machine Learning Engineer,Architect,Machine Learning,ML Engineer|A. ML Engineer
Director ML Engineer,Director Machine Learning Engineer,Director,Machine Learning,ML Engineer|D. ML Engineer
VP ML Engineer,VP Machine Learning Engineer,VP,Machine Learning,ML Engineer|V. ML Engineer
CTO ML Engineer,CTO Machine Learning Engineer,CTO,Machine Learning,ML Engineer|C. ML Engineer
Intern AI Engineer,Intern AI Engineer,Intern,Machine Learning,AI Engineer
Junior AI Engineer,Junior AI Engineer,Junior,Machine Learning,AI Engineer
Associate AI Engineer,Associate AI Engineer,Associate,Machine Learning,AI Engineer|A. AI Engineer
Mid-level AI Engineer,Mid-level AI Engineer,Mid-level,Machine Learning,AI Engineer|M. AI Engineer
Senior AI Engineer,Senior AI Engineer,Senior,Machine Learning,AI Engineer|S. AI Engineer
Lead AI Engineer,Lead AI Engineer,Lead,Machine Learning,AI Engineer|L. AI Engineer
Principal AI Engineer,Principal AI Engineer,Principal,Machine Learning,AI Engineer|P. AI Engineer
Staff AI Engineer,Staff AI Engineer,Staff,Machine Learning,AI Engineer|S. AI Engineer
Senior Staff AI Engineer,Senior Staff AI Engineer,Senior Staff,Machine Learning,AI Engineer|S. AI Engineer
Architect AI Engineer,Architect AI Engineer,Architect,Machine Learning,AI Engineer|A. AI Engineer
Director AI Engineer,Director AI Engineer,Director,Machine Learning,AI Engineer|D. AI Engineer
VP AI Engineer,VP AI Engineer,VP,Machine Learning,AI Engineer|V. AI Engineer
CTO AI Engineer,CTO AI Engineer,CTO,Machine Learning,AI Engineer|C. AI Engineer
Intern NLP Engineer,Intern NLP Engineer,Intern,Machine Learning,NLP Engineer
Junior NLP Engineer,Junior NLP Engineer,Junior,Machine Learning,NLP Engineer
Associate NLP Engineer,Associate NLP Engineer,Associate,Machine Learning,NLP Engineer|A. NLP Engineer
Mid-level NLP Engineer,Mid-level NLP Engineer,Mid-level,Machine Learning,NLP Engineer|M. NLP Engineer
Senior NLP Engineer,Senior NLP Engineer,Senior,Machine Learning,NLP Engineer|S. NLP Engineer
Lead NLP Engineer,Lead NLP Engineer,Lead,Machine Learning,NLP Engineer|L. NLP Engineer
Principal NLP Engineer,Principal NLP Engineer,Principal,Machine Learning,NLP Engineer|P. NLP Engineer
Staff NLP Engineer,Staff NLP Engineer,Staff,Machine Learning,NLP Engineer|S. NLP Engineer
Senior Staff NLP Engineer,Senior Staff NLP Engineer,Senior Staff,Machine Learning,NLP Engineer|S. NLP Engineer
Architect NLP Engineer,Architect NLP Engineer,Architect,Machine Learning,NLP Engineer|A. NLP Engineer
Director NLP Engineer,Director NLP Engineer,Director,Machine Learning,NLP Engineer|D. NLP Engineer
VP NLP Engineer,VP NLP Engineer,VP,Machine Learning,NLP Engineer|V. NLP Engineer
CTO NLP Engineer,CTO NLP Engineer,CTO,Machine Learning,NLP Engineer|C. NLP Engineer
Intern Computer Vision Engineer,Intern Computer Vision Engineer,Intern,Machine Learning,Computer Vision Engineer
Junior Computer Vision Engineer,Junior Computer Vision Engineer,Junior,Machine Learning,Computer Vision Engineer
Associate Computer Vision Engineer,Associate Computer Vision Engineer,Associate,Machine Learning,Computer Vision Engineer|A. Computer Vision Engineer
Mid-level Computer Vision Engineer,Mid-level Computer Vision Engineer,Mid-level,Machine Learning,Computer Vision Engineer|M. Computer Vision Engineer
Senior Computer Vision Engineer,Senior Computer Vision Engineer,Senior,Machine Learning,Computer Vision Engineer|S. Computer Vision Engineer
Lead Computer Vision Engineer,Lead Computer Vision Engineer,Lead,Machine Learning,Computer Vision Engineer|L. Computer Vision Engineer
Principal Computer Vision Engineer,Principal Computer Vision Engineer,Principal,Machine Learning,Computer Vision Engineer|P. Computer Vision Engineer
