company_name,canonical_name,country,industry,aliases
Capgemini,Capgemini,France,IT Consulting,Capgemini India|Capgemini SE
Capgemini India,Capgemini,France,IT Consulting,Capgemini
Capgemini SE,Capgemini,France,IT Consulting,Capgemini
Accenture,Accenture,Ireland,IT Consulting,Accenture PLC|Accenture India
Accenture PLC,Accenture,Ireland,IT Consulting,Accenture
Accenture India,Accenture,Ireland,IT Consulting,Accenture
Deloitte,Deloitte,UK,Professional Services,Deloitte Consulting|Deloitte India
Deloitte Consulting,Deloitte,UK,Professional Services,Deloitte
Deloitte India,Deloitte,UK,Professional Services,Deloitte
Ernst & Young,Ernst & Young,UK,Professional Services,EY|EY India|Ernst & Young LLP
EY,Ernst & Young,UK,Professional Services,Ernst & Young
EY India,Ernst & Young,UK,Professional Services,Ernst & Young
Ernst & Young LLP,Ernst & Young,UK,Professional Services,Ernst & Young
KPMG,KPMG,Netherlands,Professional Services,KPMG India|KPMG LLP
KPMG India,KPMG,Netherlands,Professional Services,KPMG
KPMG LLP,KPMG,Netherlands,Professional Services,KPMG
PwC,PwC,UK,Professional Services,PricewaterhouseCoopers|PwC India
PricewaterhouseCoopers,PwC,UK,Professional Services,PwC
PwC India,PwC,UK,Professional Services,PwC
Mindtree,Mindtree,India,IT Services,Mindtree Ltd|Mindtree Limited
Mindtree Ltd,Mindtree,India,IT Services,Mindtree
Mindtree Limited,Mindtree,India,IT Services,Mindtree
Mphasis,Mphasis,India,IT Services,Mphasis Ltd|Mphasis Limited
Mphasis Ltd,Mphasis,India,IT Services,Mphasis
Mphasis Limited,Mphasis,India,IT Services,Mphasis
Hexaware,Hexaware,India,IT Services,Hexaware Technologies|Hexaware Technologies Ltd
Hexaware Technologies,Hexaware,India,IT Services,Hexaware
Hexaware Technologies Ltd,Hexaware,India,IT Services,Hexaware
Persistent Systems,Persistent Systems,India,IT Services,Persistent Systems Ltd
Persistent Systems Ltd,Persistent Systems,India,IT Services,Persistent Systems
LTIMindtree,LTIMindtree,India,IT Services,LTI|L&T Infotech|Larsen & Toubro Infotech|LTIMindtree Ltd
LTI,LTIMindtree,India,IT Services,LTIMindtree
L&T Infotech,LTIMindtree,India,IT Services,LTIMindtree
Larsen & Toubro Infotech,LTIMindtree,India,IT Services,LTIMindtree
LTIMindtree Ltd,LTIMindtree,India,IT Services,LTIMindtree
Infosys BPM,Infosys BPM,India,BPO,Infosys BPO|Infosys Business Process Management
Infosys BPO,Infosys BPM,India,BPO,Infosys BPM
Infosys Business Process Management,Infosys BPM,India,BPO,Infosys BPM
Wipro BPS,Wipro BPS,India,BPO,Wipro BPS|Wipro Business Process Services
Wipro Business Process Services,Wipro BPS,India,BPO,Wipro BPS
JPMorgan Chase,JPMorgan Chase,USA,Banking/Finance,JPMorgan|JP Morgan|JPMorgan Chase & Co
JPMorgan,JPMorgan Chase,USA,Banking/Finance,JPMorgan Chase
JP Morgan,JPMorgan Chase,USA,Banking/Finance,JPMorgan Chase
JPMorgan Chase & Co,JPMorgan Chase,USA,Banking/Finance,JPMorgan Chase
Goldman Sachs,Goldman Sachs,USA,Banking/Finance,Goldman Sachs Group|Goldman Sachs India
Goldman Sachs Group,Goldman Sachs,USA,Banking/Finance,Goldman Sachs
Goldman Sachs India,Goldman Sachs,USA,Banking/Finance,Goldman Sachs
Morgan Stanley,Morgan Stanley,USA,Banking/Finance,Morgan Stanley India
Morgan Stanley India,Morgan Stanley,USA,Banking/Finance,Morgan Stanley
Bank of America,Bank of America,USA,Banking/Finance,BofA|Bank of America Corp
BofA,Bank of America,USA,Banking/Finance,Bank of America
Bank of America Corp,Bank of America,USA,Banking/Finance,Bank of America
Citigroup,Citigroup,USA,Banking/Finance,Citi|Citibank|Citigroup Inc
Citi,Citigroup,USA,Banking/Finance,Citigroup
Citibank,Citigroup,USA,Banking/Finance,Citigroup
Citigroup Inc,Citigroup,USA,Banking/Finance,Citigroup
Wells Fargo,Wells Fargo,USA,Banking/Finance,Wells Fargo & Company
Wells Fargo & Company,Wells Fargo,USA,Banking/Finance,Wells Fargo
Capital One,Capital One,USA,Banking/Finance,Capital One Financial
Capital One Financial,Capital One,USA,Banking/Finance,Capital One
American Express,American Express,USA,Financial Services,Amex|American Express Company
Amex,American Express,USA,Financial Services,American Express
American Express Company,American Express,USA,Financial Services,American Express
Fidelity Investments,Fidelity Investments,USA,Asset Management,Fidelity|Fidelity National Information Services
Fidelity,Fidelity Investments,USA,Asset Management,Fidelity Investments
Fidelity National Information Services,Fidelity Investments,USA,Asset Management,Fidelity Investments
Bloomberg,Bloomberg,USA,Financial Media/Tech,Bloomberg LP|Bloomberg India
Bloomberg LP,Bloomberg,USA,Financial Media/Tech,Bloomberg
Bloomberg India,Bloomberg,USA,Financial Media/Tech,Bloomberg
UnitedHealth Group,UnitedHealth Group,USA,Healthcare,UHG|Optum|United Health
UHG,UnitedHealth Group,USA,Healthcare,UnitedHealth Group
Optum,UnitedHealth Group,USA,Healthcare,UnitedHealth Group
United Health,UnitedHealth Group,USA,Healthcare,UnitedHealth Group
CVS Health,CVS Health,USA,Healthcare,CVS Pharmacy|CVS Health Corporation
CVS Pharmacy,CVS Health,USA,Healthcare,CVS Health
CVS Health Corporation,CVS Health,USA,Healthcare,CVS Health
Anthem,Anthem,USA,Healthcare,Anthem Inc|Elevance Health
Anthem Inc,Anthem,USA,Healthcare,Anthem
Elevance Health,Anthem,USA,Healthcare,Anthem
Johnson & Johnson,Johnson & Johnson,USA,Pharma/Healthcare,J&J|JnJ
J&J,Johnson & Johnson,USA,Pharma/Healthcare,Johnson & Johnson
JnJ,Johnson & Johnson,USA,Pharma/Healthcare,Johnson & Johnson
Pfizer,Pfizer,USA,Pharma,Pfizer Inc|Pfizer India
Pfizer Inc,Pfizer,USA,Pharma,Pfizer
Pfizer India,Pfizer,USA,Pharma,Pfizer
Novartis,Novartis,Switzerland,Pharma,Novartis AG|Novartis India
Novartis AG,Novartis,Switzerland,Pharma,Novartis
Novartis India,Novartis,Switzerland,Pharma,Novartis
Roche,Roche,Switzerland,Pharma/Diagnostics,F. Hoffmann-La Roche|Roche India
F. Hoffmann-La Roche,Roche,Switzerland,Pharma/Diagnostics,Roche
Roche India,Roche,Switzerland,Pharma/Diagnostics,Roche
Walmart,Walmart,USA,Retail,Walmart Inc|Walmart India|Walmart Labs
Walmart Inc,Walmart,USA,Retail,Walmart
Walmart India,Walmart,USA,Retail,Walmart
Walmart Labs,Walmart,USA,Retail,Walmart
Target,Target,USA,Retail,Target Corporation
Target Corporation,Target,USA,Retail,Target
eBay,eBay,USA,E-Commerce,eBay Inc|eBay India
eBay Inc,eBay,USA,E-Commerce,eBay
eBay India,eBay,USA,E-Commerce,eBay
Shopify,Shopify,Canada,E-Commerce Platform,Shopify Inc
Shopify Inc,Shopify,Canada,E-Commerce Platform,Shopify
Flipkart,Flipkart,India,E-Commerce,Flipkart Internet Pvt Ltd|Flipkart India
Flipkart Internet Pvt Ltd,Flipkart,India,E-Commerce,Flipkart
Flipkart India,Flipkart,India,E-Commerce,Flipkart
Myntra,Myntra,India,E-Commerce/Fashion,Myntra Designs Pvt Ltd
Myntra Designs Pvt Ltd,Myntra,India,E-Commerce/Fashion,Myntra
AT&T,AT&T,USA,Telecom,AT&T Inc|AT&T Labs
AT&T Inc,AT&T,USA,Telecom,AT&T
AT&T Labs,AT&T,USA,Telecom,AT&T
Verizon,Verizon,USA,Telecom,Verizon Communications
Verizon Communications,Verizon,USA,Telecom,Verizon
T-Mobile,T-Mobile,USA,Telecom,T-Mobile US|T-Mobile Inc
T-Mobile US,T-Mobile,USA,Telecom,T-Mobile
T-Mobile Inc,T-Mobile,USA,Telecom,T-Mobile
Comcast,Comcast,USA,Telecom/Media,Comcast Corporation|Xfinity
Comcast Corporation,Comcast,USA,Telecom/Media,Comcast
Xfinity,Comcast,USA,Telecom/Media,Comcast
Vodafone,Vodafone,UK,Telecom,Vodafone Group|Vodafone India
Vodafone Group,Vodafone,UK,Telecom,Vodafone
Vodafone India,Vodafone,UK,Telecom,Vodafone
Airtel,Airtel,India,Telecom,Bharti Airtel|Airtel India
Bharti Airtel,Airtel,India,Telecom,Airtel
Airtel India,Airtel,India,Telecom,Airtel
Jio,Jio,India,Telecom/Digital,Reliance Jio|Jio Platforms
Reliance Jio,Jio,India,Telecom/Digital,Jio
Jio Platforms,Jio,India,Telecom/Digital,Jio
Siemens,Siemens,Germany,Industrial Tech,Siemens AG|Siemens India
Siemens AG,Siemens,Germany,Industrial Tech,Siemens
Siemens India,Siemens,Germany,Industrial Tech,Siemens
Ericsson,Ericsson,Sweden,Telecom Equipment,Ericsson India
Ericsson India,Ericsson,Sweden,Telecom Equipment,Ericsson
Nokia,Nokia,Finland,Telecom Equipment,Nokia Corporation|Nokia India
Nokia Corporation,Nokia,Finland,Telecom Equipment,Nokia
Nokia India,Nokia,Finland,Telecom Equipment,Nokia
Philips,Philips,Netherlands,Electronics/Healthcare,Philips Electronics|Philips India
Philips Electronics,Philips,Netherlands,Electronics/Healthcare,Philips
Philips India,Philips,Netherlands,Electronics/Healthcare,Philips
ASML,ASML,Netherlands,Semiconductors,ASML Holding
ASML Holding,ASML,Netherlands,Semiconductors,ASML
Spotify,Spotify,Sweden,Music Streaming,Spotify Technology
Spotify Technology,Spotify,Sweden,Music Streaming,Spotify
Booking.com,Booking.com,Netherlands,Travel Tech,Booking Holdings
Booking Holdings,Booking.com,Netherlands,Travel Tech,Booking.com
Klarna,Klarna,Sweden,FinTech,Klarna Bank
Klarna Bank,Klarna,Sweden,FinTech,Klarna
Revolut,Revolut,UK,FinTech,Revolut Ltd
Revolut Ltd,Revolut,UK,FinTech,Revolut
Samsung,Samsung,South Korea,Electronics,Samsung Electronics|Samsung India
Samsung Electronics,Samsung,South Korea,Electronics,Samsung
Samsung India,Samsung,South Korea,Electronics,Samsung
LG Electronics,LG Electronics,South Korea,Electronics,LG|LG India
LG,LG Electronics,South Korea,Electronics,LG Electronics
LG India,LG Electronics,South Korea,Electronics,LG Electronics
Tencent,Tencent,China,Technology,Tencent Holdings
Tencent Holdings,Tencent,China,Technology,Tencent
Alibaba,Alibaba,China,E-Commerce/Cloud,Alibaba Group|Alibaba Cloud
Alibaba Group,Alibaba,China,E-Commerce/Cloud,Alibaba
Alibaba Cloud,Alibaba,China,E-Commerce/Cloud,Alibaba
Baidu,Baidu,China,Search/AI,Baidu Inc
Baidu Inc,Baidu,China,Search/AI,Baidu
ByteDance,ByteDance,China,Social Media/AI,ByteDance Ltd|TikTok
ByteDance Ltd,ByteDance,China,Social Media/AI,ByteDance
TikTok,ByteDance,China,Social Media/AI,ByteDance
Rakuten,Rakuten,Japan,E-Commerce,Rakuten Group|Rakuten India
Rakuten Group,Rakuten,Japan,E-Commerce,Rakuten
Rakuten India,Rakuten,Japan,E-Commerce,Rakuten
Fujitsu,Fujitsu,Japan,IT Services,Fujitsu Limited|Fujitsu India
Fujitsu Limited,Fujitsu,Japan,IT Services,Fujitsu
Fujitsu India,Fujitsu,Japan,IT Services,Fujitsu
NTT Data,NTT Data,Japan,IT Services,NTT DATA Corporation|NTT India
NTT DATA Corporation,NTT Data,Japan,IT Services,NTT Data
NTT India,NTT Data,Japan,IT Services,NTT Data
Grab,Grab,Singapore,Super App,Grab Holdings
Grab Holdings,Grab,Singapore,Super App,Grab
Sea Limited,Sea Limited,Singapore,Tech,Sea Group|Shopee
Sea Group,Sea Limited,Singapore,Tech,Sea Limited
Shopee,Sea Limited,Singapore,Tech,Sea Limited
Atlassian,Atlassian,Australia,DevOps Software,Atlassian Corporation
Atlassian Corporation,Atlassian,Australia,DevOps Software,Atlassian
WiseTech Global,WiseTech Global,Australia,Logistics Tech,WiseTech
WiseTech,WiseTech Global,Australia,Logistics Tech,WiseTech Global
Telstra,Telstra,Australia,Telecom,Telstra Corporation
Telstra Corporation,Telstra,Australia,Telecom,Telstra
Shopify,Shopify,Canada,E-Commerce Platform,Shopify Inc
Shopify Inc,Shopify,Canada,E-Commerce Platform,Shopify
OpenText,OpenText,Canada,Information Management,OpenText Corporation
OpenText Corporation,OpenText,Canada,Information Management,OpenText
Tesla,Tesla,USA,Electric Vehicles/Tech,Tesla Inc|Tesla Motors
Tesla Inc,Tesla,USA,Electric Vehicles/Tech,Tesla
Tesla Motors,Tesla,USA,Electric Vehicles/Tech,Tesla
Ford,Ford,USA,Automotive,Ford Motor Company|Ford India
Ford Motor Company,Ford,USA,Automotive,Ford
Ford India,Ford,USA,Automotive,Ford
General Motors,General Motors,USA,Automotive,GM|General Motors Company
GM,General Motors,USA,Automotive,General Motors
General Motors Company,General Motors,USA,Automotive,General Motors
Bosch,Bosch,Germany,Automotive/Industrial,Robert Bosch GmbH|Bosch India
Robert Bosch GmbH,Bosch,Germany,Automotive/Industrial,Bosch
Bosch India,Bosch,Germany,Automotive/Industrial,Bosch
Comcast NBCUniversal,Comcast NBCUniversal,USA,Media,NBCUniversal|Peacock
NBCUniversal,Comcast NBCUniversal,USA,Media,Comcast NBCUniversal
Peacock,Comcast NBCUniversal,USA,Media,Comcast NBCUniversal
The Walt Disney Company,The Walt Disney Company,USA,Media/Entertainment,Disney|Disney+
Disney,The Walt Disney Company,USA,Media/Entertainment,The Walt Disney Company
Disney+,The Walt Disney Company,USA,Media/Entertainment,The Walt Disney Company
Warner Bros. Discovery,Warner Bros. Discovery,USA,Media,Warner Media|HBO Max
Warner Media,Warner Bros. Discovery,USA,Media,Warner Bros. Discovery
HBO Max,Warner Bros. Discovery,USA,Media,Warner Bros. Discovery
News Corp,News Corp,USA,Media,News Corporation
News Corporation,News Corp,USA,Media,News Corp
Twilio,Twilio,USA,CPaaS,Twilio Inc
Twilio Inc,Twilio,USA,CPaaS,Twilio
HashiCorp,HashiCorp,USA,DevOps,HashiCorp Inc
HashiCorp Inc,HashiCorp,USA,DevOps,HashiCorp
Confluent,Confluent,USA,Streaming Data,Confluent Inc
Confluent Inc,Confluent,USA,Streaming Data,Confluent
Elastic,Elastic,USA,Search/Analytics,Elastic NV|Elasticsearch
Elastic NV,Elastic,USA,Search/Analytics,Elastic
Elasticsearch,Elastic,USA,Search/Analytics,Elastic
MongoDB Inc,MongoDB Inc,USA,Database,MongoDB
MongoDB,MongoDB Inc,USA,Database,MongoDB Inc
Redis Labs,Redis Labs,USA,In-Memory Database,Redis Ltd
Redis Ltd,Redis Labs,USA,In-Memory Database,Redis Labs
Cockroach Labs,Cockroach Labs,USA,Distributed Database,CockroachDB
CockroachDB,Cockroach Labs,USA,Distributed Database,Cockroach Labs
PingCAP,PingCAP,China,Database,TiDB
TiDB,PingCAP,China,Database,PingCAP
Premier Solutions AG,Premier Solutions,Sweden,Cybersecurity,Premier Solutions
Smart Cloud AG,Smart Cloud,Germany,Media Tech,Smart Cloud
Pinnacle Software AB,Pinnacle Software,UAE,Software,Pinnacle Software
Sigma Software Corp,Sigma Software,Netherlands,AgriTech,Sigma Software
Sigma Engineering AG,Sigma Engineering,Poland,InsurTech,Sigma Engineering
Smart Studio AB,Smart Studio,Sweden,Marketing Tech,Smart Studio
Apex Services AG,Apex Services,UAE,ERP/CRM,Apex Services
Net Networks Corp,Net Networks,Japan,Healthcare IT,Net Networks
Global Platforms LLC,Global Platforms,South Korea,IoT,Global Platforms
Hub Works Inc,Hub Works,Ireland,Automotive Tech,Hub Works
Pacific Platforms LLC,Pacific Platforms,Poland,Data Analytics,Pacific Platforms
Edge Engineering AG,Edge Engineering,UK,Software,Edge Engineering
Swift Partners LLC,Swift Partners,Netherlands,IoT,Swift Partners
United Platforms Co,United Platforms,Ireland,Government IT,United Platforms
Edge Services Group,Edge Services,South Korea,Cloud Computing,Edge Services
Tech Digital AB,Tech Digital,Australia,Automotive Tech,Tech Digital
Cloud Services Pvt Ltd,Cloud Services,Brazil,AI/ML,Cloud Services
Smart Corp Inc,Smart Corp,Netherlands,Blockchain,Smart Corp
Alpha Corp GmbH,Alpha Corp,Sweden,FinTech,Alpha Corp
Pro Corp Corp,Pro Corp,Switzerland,EdTech,Pro Corp
Bolt Networks Co,Bolt Networks,Canada,Cybersecurity,Bolt Networks
Crest Works AG,Crest Works,Romania,InsurTech,Crest Works
Craft Insights Corp,Craft Insights,Canada,AgriTech,Craft Insights
Aurora Software Inc,Aurora Software,Germany,E-Commerce,Aurora Software
Cyber Research AB,Cyber Research,UK,EdTech,Cyber Research
Link Academy Pte Ltd,Link Academy,Sweden,Automotive Tech,Link Academy
Nexus Data SA,Nexus Data,Poland,HR Tech,Nexus Data
Tech Interactive LLC,Tech Interactive,France,InsurTech,Tech Interactive
Cyber Academy Inc,Cyber Academy,Sweden,AgriTech,Cyber Academy
Micro Analytics SA,Micro Analytics,France,Blockchain,Micro Analytics
Orion Engineering Ltd,Orion Engineering,South Korea,HR Tech,Orion Engineering
Cyber Systems AB,Cyber Systems,Japan,PropTech,Cyber Systems
Vertex Data Group,Vertex Data,France,Cybersecurity,Vertex Data
Prime Labs AB,Prime Labs,UK,FinTech,Prime Labs
Nova Digital Pte Ltd,Nova Digital,Canada,E-Commerce,Nova Digital
Flux Services Co,Flux Services,Israel,IoT,Flux Services
Pixel Dynamics Pte Ltd,Pixel Dynamics,Singapore,Retail Tech,Pixel Dynamics
Soft Infrastructure SA,Soft Infrastructure,South Korea,LegalTech,Soft Infrastructure
Summit Studio LLC,Summit Studio,Netherlands,Cybersecurity,Summit Studio
Elite Interactive Inc,Elite Interactive,Romania,Automotive Tech,Elite Interactive
Swift Logic Inc,Swift Logic,UK,Retail Tech,Swift Logic
Prime Logic LLC,Prime Logic,India,IoT,Prime Logic
Logic Digital Pte Ltd,Logic Digital,Netherlands,AI/ML,Logic Digital
Nova Dynamics Pte Ltd,Nova Dynamics,Canada,Logistics Tech,Nova Dynamics
Flux Labs Pvt Ltd,Flux Labs,UAE,Cloud Computing,Flux Labs
United Analytics SA,United Analytics,UAE,Gaming,United Analytics
Pixel Applications Pvt Ltd,Pixel Applications,India,Media Tech,Pixel Applications
United Innovations GmbH,United Innovations,Japan,Marketing Tech,United Innovations
Allied Labs Corp,Allied Labs,Singapore,Automotive Tech,Allied Labs
Arc Cloud GmbH,Arc Cloud,Australia,AI/ML,Arc Cloud
Spark Labs LLC,Spark Labs,Ireland,Marketing Tech,Spark Labs
United Innovations SA,United Innovations,Poland,Blockchain,United Innovations
Nexus Software Corp,Nexus Software,Australia,InsurTech,Nexus Software
Nova Collective Corp,Nova Collective,Brazil,Software,Nova Collective
Nano Platforms Inc,Nano Platforms,Brazil,AI/ML,Nano Platforms
Bolt Partners GmbH,Bolt Partners,Poland,Media Tech,Bolt Partners
Nova Networks Corp,Nova Networks,France,Cloud Computing,Nova Networks
Prime Innovations AG,Prime Innovations,Japan,Software,Prime Innovations
Omega Collective Pte Ltd,Omega Collective,Israel,Telecom,Omega Collective
Prime Software Ltd,Prime Software,UK,Defense IT,Prime Software
Elite Labs GmbH,Elite Labs,Germany,Aerospace,Elite Labs
Cloud Technologies AB,Cloud Technologies,UK,InsurTech,Cloud Technologies
Summit Corp Co,Summit Corp,Singapore,Media Tech,Summit Corp
Sys Labs Co,Sys Labs,Brazil,E-Commerce,Sys Labs
Dev Academy Group,Dev Academy,UK,IT Services,Dev Academy
Bolt Analytics LLC,Bolt Analytics,Poland,Cloud Computing,Bolt Analytics
Orion Works Ltd,Orion Works,South Korea,FinTech,Orion Works
Cloud Insights Co,Cloud Insights,Australia,LegalTech,Cloud Insights
Pinnacle Group AB,Pinnacle Group,Israel,IT Services,Pinnacle Group
Dev Analytics Ltd,Dev Analytics,Sweden,Healthcare IT,Dev Analytics
Allied Networks Co,Allied Networks,France,Defense IT,Allied Networks
Super Interactive Corp,Super Interactive,Sweden,AgriTech,Super Interactive
Nova Works Inc,Nova Works,UK,Government IT,Nova Works
Pixel Ventures Inc,Pixel Ventures,USA,ERP/CRM,Pixel Ventures
Atlantic Works Ltd,Atlantic Works,Ireland,Automotive Tech,Atlantic Works
Pixel Systems LLC,Pixel Systems,UK,Retail Tech,Pixel Systems
Quantum Technologies Group,Quantum Technologies,Romania,Automotive Tech,Quantum Technologies
Solar Research Ltd,Solar Research,India,Data Analytics,Solar Research
Edge Technologies Group,Edge Technologies,Singapore,Media Tech,Edge Technologies
Cloud Analytics Group,Cloud Analytics,Poland,IoT,Cloud Analytics
Sync Networks Corp,Sync Networks,Australia,Marketing Tech,Sync Networks
Micro Applications Inc,Micro Applications,Australia,Logistics Tech,Micro Applications
Logic Applications SA,Logic Applications,Netherlands,AI/ML,Logic Applications
Cyber Analytics GmbH,Cyber Analytics,India,IoT,Cyber Analytics
Flux Logic Corp,Flux Logic,Ireland,Gaming,Flux Logic
Soft Logic Corp,Soft Logic,USA,Media Tech,Soft Logic
Ultra Infrastructure Group,Ultra Infrastructure,Sweden,IoT,Ultra Infrastructure
Elite Ventures Group,Elite Ventures,Israel,EdTech,Elite Ventures
Crest Interactive Inc,Crest Interactive,Germany,AI/ML,Crest Interactive
Micro Works Inc,Micro Works,Germany,Defense IT,Micro Works
Vector Intelligence AG,Vector Intelligence,Japan,InsurTech,Vector Intelligence
Zenith Data GmbH,Zenith Data,Romania,Cloud Computing,Zenith Data
Data Technologies AG,Data Technologies,UAE,IT Services,Data Technologies
Summit Engineering Group,Summit Engineering,UAE,FinTech,Summit Engineering
Logic Corp SA,Logic Corp,Germany,Logistics Tech,Logic Corp
Dev Group SA,Dev Group,UAE,ERP/CRM,Dev Group
Craft Partners Pte Ltd,Craft Partners,Canada,Cloud Computing,Craft Partners
Flow Platforms SA,Flow Platforms,Australia,Defense IT,Flow Platforms
Dev Infrastructure Pte Ltd,Dev Infrastructure,USA,Data Analytics,Dev Infrastructure
